date,symbol,quantity,market_price
2014-04-09 00:00:00,000799.SZ,1800.0,11.0253
2014-04-09 00:00:00,002672.SZ,2200.0,8.991
2014-04-09 00:00:00,300365.SZ,4100.0,4.768
2014-04-16 00:00:00,002319.SZ,2600.0,7.6884
2014-04-28 00:00:00,002163.SZ,6000.0,3.3
2014-04-28 00:00:00,600228.SH,1900.0,10.09
2014-04-28 00:00:00,600598.SH,3900.0,5.0069
2014-05-12 00:00:00,600023.SH,6700.0,2.9511
2014-05-12 00:00:00,600199.SH,2600.0,7.5876
2014-05-12 00:00:00,600238.SH,3100.0,6.4284
2014-05-12 00:00:00,600773.SH,2200.0,9.0342
2014-05-15 00:00:00,002639.SZ,5100.0,3.8992
2014-05-15 00:00:00,300197.SZ,6300.0,3.1267
2014-05-15 00:00:00,600088.SH,1700.0,11.3143
2014-05-15 00:00:00,600722.SH,5000.0,3.95
2014-05-22 00:00:00,000010.SZ,3600.0,5.53
2014-05-22 00:00:00,000011.SZ,4100.0,4.8187
2014-05-22 00:00:00,000069.SZ,5500.0,3.6345
2014-05-22 00:00:00,002239.SZ,12300.0,1.6151
2014-05-22 00:00:00,002643.SZ,5600.0,3.5525
2014-05-22 00:00:00,300111.SZ,5800.0,3.44
2014-05-22 00:00:00,600278.SH,2600.0,7.6093
2014-05-22 00:00:00,600280.SH,4500.0,4.4247
2014-05-22 00:00:00,600287.SH,3800.0,5.2605
2014-05-22 00:00:00,600521.SH,3600.0,5.4392
2014-05-22 00:00:00,600871.SH,7400.0,2.69
2014-05-23 00:00:00,000691.SZ,5200.0,3.8116
2014-05-23 00:00:00,000797.SZ,10600.0,1.8767
2014-05-23 00:00:00,600609.SH,7200.0,2.7646
2014-05-23 00:00:00,600791.SH,4400.0,4.5106
2014-05-26 00:00:00,000548.SZ,4500.0,4.4322
2014-05-26 00:00:00,600301.SH,3300.0,5.9875
2014-05-26 00:00:00,600689.SH,3400.0,5.7605
2014-05-26 00:00:00,603002.SH,5500.0,3.6247
2014-06-10 00:00:00,000937.SZ,9600.0,2.0701
2014-06-10 00:00:00,600121.SH,5800.0,3.4061
2014-06-19 00:00:00,600116.SH,7700.0,2.5887
2014-06-19 00:00:00,600403.SH,4700.0,4.1697
2014-07-03 00:00:00,000010.SZ,6400.0,6.98
2014-07-04 00:00:00,002639.SZ,9300.0,4.7087
2014-07-04 00:00:00,600773.SH,4000.0,10.6157
2014-07-07 00:00:00,600280.SH,8300.0,5.2008
2014-07-17 00:00:00,002643.SZ,10300.0,4.2494
2014-07-28 00:00:00,600521.SH,6600.0,6.5941
2014-07-30 00:00:00,002672.SZ,4000.0,10.9876
2014-08-01 00:00:00,000069.SZ,9900.0,4.5139
2014-08-04 00:00:00,600301.SH,6000.0,7.2088
2014-08-05 00:00:00,600403.SH,8600.0,5.0778
2014-08-06 00:00:00,600088.SH,3200.0,13.2782
2014-08-07 00:00:00,600689.SH,6200.0,7.0814
2014-08-12 00:00:00,600722.SH,8600.0,5.41
2014-08-13 00:00:00,002163.SZ,10800.0,4.13
2014-09-26 00:00:00,600023.SH,12200.0,3.5907
2014-09-26 00:00:00,603002.SH,9700.0,4.6617
2014-09-29 00:00:00,600287.SH,6300.0,7.8501
2014-10-10 00:00:00,000011.SZ,7300.0,6.2272
2014-10-10 00:00:00,000548.SZ,7900.0,5.7369
2014-10-10 00:00:00,000937.SZ,17300.0,2.5672
2014-10-10 00:00:00,300197.SZ,11400.0,3.8576
2014-10-10 00:00:00,300365.SZ,7400.0,5.9194
2015-01-27 00:00:00,000691.SZ,9200.0,4.9195
2015-01-27 00:00:00,000799.SZ,3100.0,15.0261
